,playbackTime,curTime,renderTime,cameraX,cameraY,cameraZ,HPTime,curHP,maxHP,isDead
1693,1616313874336,763.8776245117188,1616313874351,6827.3564453125,1911.8480224609375,7731.78125,1616313874358,,,True
1694,1616313874419,764.21142578125,1616313874434,6827.3564453125,1911.8480224609375,7731.78125,1616313874442,,,True
1695,1616313874506,764.5596923828125,1616313874523,6827.3564453125,1911.8480224609375,7731.78125,1616313874531,,,True
1696,1616313874633,765.0624389648438,1616313874633,6827.3564453125,1911.8480224609375,7731.78125,1616313874617,,,True
1697,1616313874716,765.3953857421875,1616313874716,6827.3564453125,1911.8480224609375,7731.78125,1616313874724,,,True
1698,1616313874803,765.7443237304688,1616313874805,6827.3564453125,1911.8480224609375,7731.78125,1616313874819,,,True
1699,1616313874898,766.1279907226562,1616313874899,6827.3564453125,1911.8480224609375,7731.78125,1616313874908,,,True
1700,1616313874983,766.4620361328125,1616313874983,6827.3564453125,1911.8480224609375,7731.78125,1616313874993,,,True
1701,1616313875083,766.8613891601562,1616313875083,6827.3564453125,1911.8480224609375,7731.78125,1616313875093,,,True
1702,1616313875183,767.2620239257812,1616313875183,6827.3564453125,1911.8480224609375,7731.78125,1616313875193,,,True
1703,1616313875252,767.5426025390625,1616313875267,6827.3564453125,1911.8480224609375,7731.78125,1616313875278,,,True
1704,1616313875370,768.0126342773438,1616313875370,6827.3564453125,1911.8480224609375,7731.78125,1616313875375,,,True
1705,1616313875437,768.283935546875,1616313875453,6827.3564453125,1911.8480224609375,7731.78125,1616313875461,,,True
1706,1616313875549,768.72900390625,1616313875550,6827.3564453125,1911.8480224609375,7731.78125,1616313875563,,,True
1707,1616313875651,769.132568359375,1616313875651,6827.3564453125,1911.8480224609375,7731.78125,1616313875665,,,True
1708,1616313875750,769.5281372070312,1616313875750,6827.3564453125,1911.8480224609375,7731.78125,1616313875757,,,True
1709,1616313875832,769.861328125,1616313875832,6827.3564453125,1911.8480224609375,7731.78125,1616313875841,,,True
1710,1616313875918,770.2000732421875,1616313875918,6827.3564453125,1911.8480224609375,7731.78125,1616313875931,,,True
1711,1616313876015,770.5943603515625,1616313876016,6827.3564453125,1911.8480224609375,7731.78125,1616313876024,,,True
1712,1616313876114,770.99462890625,1616313876115,6827.3564453125,1911.8480224609375,7731.78125,1616313876103,,,True
1713,1616313876199,771.328857421875,1616313876199,6827.3564453125,1911.8480224609375,7731.78125,1616313876209,,,True
1714,1616313876286,771.6630249023438,1616313876286,6827.3564453125,1911.8480224609375,7731.78125,1616313876300,,,True
1715,1616313876385,772.0673217773438,1616313876385,6827.3564453125,1911.8480224609375,7731.78125,1616313876396,,,True
1716,1616313876482,772.4619750976562,1616313876481,6827.3564453125,1911.8480224609375,7731.78125,1616313876491,,,True
1717,1616313876567,772.7947387695312,1616313876567,6827.3564453125,1911.8480224609375,7731.78125,1616313876577,,,True
1718,1616313876665,773.1947021484375,1616313876666,6827.3564453125,1911.8480224609375,7731.78125,1616313876675,,,True
1719,1616313876748,773.5284423828125,1616313876749,6827.3564453125,1911.8480224609375,7731.78125,1616313876756,,,True
1720,1616313876834,773.8616333007812,1616313876834,6827.3564453125,1911.8480224609375,7731.78125,1616313876845,,,True
1721,1616313876932,774.2614135742188,1616313876932,6827.3564453125,1911.8480224609375,7731.78125,1616313876940,,,True
1722,1616313877032,774.6611938476562,1616313877017,6827.3564453125,1911.8480224609375,7731.78125,1616313877032,,,True
1723,1616313877119,775.0069580078125,1616313877119,6827.3564453125,1911.8480224609375,7731.78125,1616313877128,,,True
1724,1616313877216,775.394775390625,1616313877216,6827.3564453125,1911.8480224609375,7731.78125,1616313877228,,,True
1725,1616313877317,775.7957763671875,1616313877317,6827.3564453125,1911.8480224609375,7731.78125,1616313877328,,,True
1726,1616313877417,776.1943359375,1616313877417,6827.3564453125,1911.8480224609375,7731.78125,1616313877428,,,True
1727,1616313877517,776.5944213867188,1616313877517,6827.3564453125,1911.8480224609375,7731.78125,1616313877533,,,True
1728,1616313877617,776.9952392578125,1616313877617,6827.3564453125,1911.8480224609375,7731.78125,1616313877627,,,True
1729,1616313877715,777.3948974609375,1616313877715,6827.3564453125,1911.8480224609375,7731.78125,1616313877725,,,True
