comment,youtube_id,date,like_num
Someone give Ji Seok Jin's stylist a raise,Cyp,3일 전,0
지효누나 외모 장난아니다 ㅋㅋ,섭섭,5일 전,31
지효언니 제발 헤어 해주시는 분이랑 작별좀ㅠㅠ 예전에 비천무 앞머리때도 빡쳤는데..하.. 더한게 나왔네,ChoOH,5일 전(수정됨),11
Jihyo unnie looking so beautiful in short hair ❤️❤️,Mansha Chhantyal,3일 전,3
재석님 진짜 코디 너무 이쁘다 ㅠㅠ,박지영,5일 전,8
00:46 마취로도 멈추지 못한 뾰족구두의 스텝이랰ㅋㅋㅋㅋㅋㅋㅋㅋ자막 진짜 미쳐ㅠㅠ,수아,5일 전(수정됨),53
Song JiHyo with short hair fresh and cute.  💞,SpartAce Fans,3일 전,5
13:56유느님 장난꾸러기 춤 표정이랑 찰떡 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,DS,5일 전(수정됨),216
소신발언)지효누나 뭘해도 이쁘지만 저건 아님 ㅋㅋㅋㅋ,천호,5일 전,90
이렇게 맨날 점심시간에 올려줘서 너무 좋다 밥 먹으면서 보기 딱좋음!,Ha-hah,5일 전,5
♥️thanx for the sub..🥰👍Ji Hyo short hair even make her beautiful ♥️,Valdini Pangemanan,3일 전(수정됨),3
"근데 다른건 다 참아도 지효언니는 진심 헤메코 좀 바꾸면 좋겠다...  더 꾸미는거 보다 좀 무난한 스타일 좀 해주지,,,",Honey bee,5일 전(수정됨),36
예능계 최고의 오프닝 = 런닝맨 패션 공격기 ㅋㅋㅋㅋㅋ,이환 Ridwan,3일 전,4
06:20 브금부터 자막까지 갓벽이다 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,belug 03,5일 전,37
Grabii ang ganda ni Jihyo.,Mary Joy Paalan,4일 전,3
지효님 스타일리스트 내가 하고싶다 진짜…🥺🥺,ㅇㅇ,5일 전,38
Song Ji Hyo so cute 🥰🥰,Merryanna Lukiam,4일 전,3
송지효 헤어 담당은 저러고 돈을 받아간단말임?? 송지효한테 돈을 내도 모자랄 마당에..거짓말 안하고 어디 벌칙 가발같자나 ㅠㅠ 송지효가 잘못한게 있다면 저딴 머리도 커버하는 완벽한 이목구비뿐..,며늘아,5일 전,77
역시 패피 지석진송지효는 뭘해도 예쁘네,싱싱고래v,4일 전(수정됨),9
지효언니 넘 안타깝다ㅠ 저 이쁜얼굴을 저렇게 못살리나ㅠ  소속사 댓글 안보나봄 ...,om s,5일 전,11
ㅋㅋㅋㅋㅋㅋㅋㅋ진짜 왕코형님 이번에 큰 상 하나 기대해봅니다ㅜㅠㅜㅜㅜㅠㅠㅠ,한소희,5일 전,6
ㅋㅋㅋㅋㅋ진짜 어찌 다 석삼이형이얔ㅋㅋㅋㅋ미치겠네 ㅋㅋㅋ,뿌뿌쀼쀼,5일 전,3
We need Kim Jong Kook nagging rm members compilations 😂,"Israel, Anicah Quemar",4일 전,1
2:10 고은찬 ㅋㅋㅋㅋㅋ 진짜 커프 생각난다 지효누나 미모 미쳤....,여디디야,5일 전,36
지효는 예쁘지만 옷과헤어 스타일리스트 바꿔야지,u100me,5일 전,11
지효님은 진짜 얼굴이 다하는거지...담당 패디 진짜 뭐하는거야 안티야...?,선녀가 나묶음,5일 전(수정됨),28
근데 송지효님은 앞머리 막 예쁘게 자른것같진 않은데 왜 매력있고 예뻐보이지,codbs tls,3일 전,4
이정도면 지석진님 디자이너분이 그냥 패션 희생하시고 예능의 한  요소로 넣어주신게 아닐까 의심된다..,몰라,5일 전(수정됨),11
이정도면 지효씨 소속사는 시청자들한테 시말서 제출하세요. 아님 꾸미면 너무 예뻐져서 안 꾸미는 거예요?,허영준,2일 전,3
따끈따끈한 영상이다!!!런닝맨만 보면 시간 순삭임,καλοκαίρι,5일 전,3
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지석진 진짜 웃기네패션쪽으론 분량 젤 많이 뽑는듯,K David,3일 전,4
